//(x,y,z,usr)
(,,)
(-4.4670875E-7,218.68715,295.2603)
(-3.6373272E-6,232.94485,232.90916)
(-4.775393E-7,183.75317,-302.07092)
(1.1310474E-6,219.67607,284.3589)
(-1.3779207E-6,177.64705,-305.70184)
(-1.2759364E-6,215.22638,287.74155)
(2.373563E-6,200.10773,-293.84018)
(2.92992E-7,113.74876,256.18658)
(1.0505981E-6,204.93623,-290.49313)
(-1.1196604E-5,114.018326,256.0667)
(-1.3410476E-6,162.96632,-314.16916)
(2.0956468E-6,86.04244,98.015335)
(-1.1070074E-6,185.84883,-301.1984)
(-2.322778E-6,159.60522,7.179302)
(-2.9562213E-7,180.52728,-288.2173)
(-2.5434645E-6,159.41966,10.5228195)
(-5.1646566E-6,181.08905,-287.86462)
(-1.111035E-6,156.54457,9.942545)
(7.9834535E-7,229.50136,-245.05914)
(-5.6838985E-7,160.77815,27.99061)
(2.7971962E-6,224.72803,-249.4437)
(-4.299352E-8,160.34897,30.352802)
(-5.0344806E-6,229.47282,-251.82753)
(-5.8568644E-6,164.1601,8.425438)
(-1.0654166E-5,226.56015,-254.45113)
(-1.1110792E-5,178.89815,2.5943742)
(5.119473E-6,237.29602,-266.70456)
(-5.6097065E-8,178.40474,13.528724)
(1.5348633E-7,234.94933,-268.7742)
(-1.58138E-5,177.99426,21.98771)
(-2.3515167E-6,248.29471,-256.49716)
(-5.7124366E-6,178.94197,12.049436)
(3.2309617E-6,262.60452,-241.8262)
(3.586624E-6,181.09616,23.987629)
(-6.343471E-6,231.67725,-275.2509)
(1.4124185E-5,188.03015,-11.147189)
(-4.7103094E-6,260.81793,-247.81326)
(-1.4728619E-5,186.83488,-23.923203)
(-2.3210305E-7,247.38844,-261.2836)
(-1.08155E-5,241.22498,-39.64975)
(-1.1491501E-5,276.4857,-230.2735)
(2.3707457E-6,304.04123,-80.267586)
(4.985539E-6,278.10538,-146.76978)
(-6.9043012E-6,293.1688,-205.94325)
(-1.0507573E-6,254.40508,-252.26697)
(3.5661265E-6,363.75452,-135.6655)
(-1.2383243E-5,290.07495,-204.35692)
(2.9749367E-6,439.24722,-143.79466)
(-5.1488314E-7,284.6289,-211.87636)
(-5.964268E-6,434.00684,-158.9124)
(3.467103E-6,230.0529,-258.7448)
(1.542422E-5,456.10083,-186.14122)
(-3.4275943E-6,263.59827,-224.4753)
(-8.456409E-6,220.94193,-251.80396)
(1.1735391E-6,268.47028,-200.3604)
(-1.758759E-5,198.06856,-269.04596)
(-1.6397862E-5,213.31837,-257.12292)
(5.1835377E-6,234.26797,-234.84073)
(-2.9343937E-6,255.63925,-211.37698)
(1.4543183E-6,186.35606,-269.34802)
(1.6763806E-7,189.67104,-267.024)
(2.2557197E-6,195.11598,-270.076)
(1.7489583E-6,189.6728,-273.92606)
(-3.1378859E-6,451.32996,-197.42796)
(-1.3869891E-6,478.23047,-226.333)
(2.5371537E-6,234.27481,-260.96832)
(-7.733071E-6,533.6171,-113.63217)
(9.759403E-7,517.6801,-172.23985)
(2.8485556E-6,513.4941,-196.72212)
(3.670831E-6,549.42615,-166.97577)
(4.977403E-6,537.59296,-201.85056)
(3.4723553E-6,524.6156,-202.95464)
(-6.493792E-9,220.4252,-272.76712)
(-3.9297583E-6,519.2652,-198.72186)
(-3.083815E-6,528.1456,-173.74931)
(1.1844188E-6,530.00604,-158.12532)
(-3.379278E-6,540.6508,-116.647995)
(3.311798E-6,530.6635,-145.47765)
(-8.734041E-6,212.4925,-324.79327)
(6.9652515E-7,493.23007,-60.516277)
(1.7703859E-6,246.2667,-329.77023)
(3.0203091E-6,465.95596,-172.69392)
(6.6022035E-6,297.4578,-284.4548)
(-1.342941E-6,435.52576,-181.09744)
(1.9124855E-6,282.10696,-299.68542)
(-1.5129636E-6,435.78098,-54.77463)
(1.4904363E-5,263.037,-295.5758)
(-4.8781408E-6,424.47104,-112.826225)
(7.194467E-7,234.33203,-365.02264)
(2.2341624E-6,377.50824,-112.7935)
(-1.1938391E-6,252.06999,-353.00677)
(6.2930003E-6,375.83218,-123.40612)
(-1.8611898E-6,285.67664,-326.4077)
(-4.497815E-6,392.60156,-324.10617)
(1.6510825E-6,372.7293,-132.4827)
(2.5828376E-6,363.17044,-144.54884)
(1.7590246E-5,399.79938,-315.18457)
(2.2817203E-7,362.6849,-145.76297)
(8.799107E-6,390.38126,-351.0561)
(-1.9129911E-6,343.18716,-169.61397)
(-6.448899E-6,409.52002,-346.7301)
(2.6150876E-6,337.08188,-166.2965)
(-2.055298E-5,406.60608,-350.14273)
(4.694043E-6,338.24335,-163.9212)
(-2.6862836E-7,412.7715,-342.85306)
(-1.505227E-6,329.1129,-196.62921)
(-5.153306E-6,430.62277,-333.8741)
